Volatility 3 Framework 2.7.0

PID	Process	Offset	Start VPN	End VPN	Tag	Protection	CommitCharge	PrivateMemory	Parent	File	File output

4	System	0x89c67078	0x10000	0x33fff	Vad 	PAGE_READWRITE	0	0	0x0	N/A	Disabled
4	System	0x89c4f8f8	0x7c900000	0x7c9b1fff	Vad 	PAGE_EXECUTE_WRITECOPY	5	0	0x89c67078	\WINDOWS\system32\ntdll.dll	Disabled
4	System	0x89c12590	0x60000	0x60fff	Vad 	PAGE_READWRITE	0	0	0x89c4f8f8	N/A	Disabled
4	System	0x897f01d0	0x70000	0x16ffff	Vad 	PAGE_READWRITE	0	0	0x89c12590	N/A	Disabled
324	smss.exe	0x89b4d040	0x48580000	0x4858efff	Vad 	PAGE_EXECUTE_WRITECOPY	2	0	0x0	\WINDOWS\system32\smss.exe	Disabled
324	smss.exe	0x89b0a2f8	0x0	0xfffff	VadS	PAGE_READWRITE	0	1	0x89b4d040	N/A	Disabled
324	smss.exe	0x89b09e80	0x100000	0x100fff	VadS	PAGE_READWRITE	1	1	0x89b0a2f8	N/A	Disabled
324	smss.exe	0x89b06d18	0x110000	0x110fff	VadS	PAGE_READWRITE	1	1	0x89b09e80	N/A	Disabled
324	smss.exe	0x89b068f8	0x120000	0x15ffff	VadS	PAGE_READWRITE	4	1	0x89b06d18	N/A	Disabled
324	smss.exe	0x89adb378	0x160000	0x25ffff	VadS	PAGE_READWRITE	6	1	0x89b068f8	N/A	Disabled
324	smss.exe	0x89a7d138	0x260000	0x26ffff	VadS	PAGE_READWRITE	6	1	0x89adb378	N/A	Disabled
324	smss.exe	0x89c00a58	0x270000	0x2affff	VadS	PAGE_READWRITE	4	1	0x89a7d138	N/A	Disabled
324	smss.exe	0x89a721b0	0x2b0000	0x2effff	VadS	PAGE_READWRITE	4	1	0x89c00a58	N/A	Disabled
324	smss.exe	0x89a901f8	0x2f0000	0x2f0fff	VadS	PAGE_READWRITE	1	1	0x89a721b0	N/A	Disabled
